l,nr,l,nr,l,,,,,,,,,
54,44.9196530147895,54,44.6909366704589,54,47.5621647976596,54,56.1386044747819,54,55.6408797876374,54,55.3754266211604,54,55.4939324990519
55,45.5418088737201,55,45.4493742889648,55,48.3747765317731,55,56.9681456200227,55,56.4704209328782,55,56.4372392870686,55,56.3234736442927
56,46.1639647326508,56,46.2078119074706,56,49.1873882658865,56,57.7976867652635,56,57.5322335987865,56,57.385286310201,56,57.385286310201
57,46.7861205915814,57,46.9662495259765,57,50,57,58.6272279105044,57,58.5940462646947,57,58.3333333333333,57,58.3333333333333
58,47.408276450512,58,47.7246871444824,58,51.1376564277588,58,59.6890405764126,58,59.6558589306029,58,59.6605991657186,58,59.6605991657186
59,48.0304323094426,59,48.4831247629883,59,52.2753128555176,59,60.7508532423208,59,60.6039059537353,59,60.9878649981039,59,60.4901403109594
60,48.6525881683732,60,49.2415623814942,60,53.4129692832764,60,61.812665908229,60,61.5519529768676,60,61.8174061433447,60,61.5519529768676
61,49.2747440273038,61,50,61,54.5506257110352,61,62.8744785741373,61,62.5,61,62.6469472885855,61,62.5
62,49.8968998862344,62,51.0618126659083,62,55.6882821387941,62,63.8225255972696,62,63.8272658323853,62,63.7087599544937,62,63.8272658323853
63,50.519055745165,63,52.1236253318165,63,56.8259385665529,63,64.770572620402,63,65.1545316647705,63,64.770572620402,63,64.6568069776261
64,51.1412116040956,64,53.1854379977247,64,57.9635949943117,64,65.7186196435343,64,66.4817974971558,64,65.7186196435343,64,65.7186196435343
65,51.7633674630262,65,54.247250663633,65,58.674630261661,65,66.6666666666666,65,67.3113386423966,65,66.6666666666666,65,66.6666666666667
66,52.5597269624574,66,55.3090633295412,66,59.3856655290102,66,67.9939324990519,66,68.1408797876374,66,67.9939324990519,66,67.9939324990519
67,53.3560864618885,67,56.3708759954494,67,60.0967007963595,67,69.3211983314372,67,68.9704209328783,67,69.3211983314372,67,68.8234736442927
68,54.1524459613197,68,57.4326886613576,68,60.8077360637087,68,70.6484641638225,68,70.0322335987865,68,70.150739476678,68,69.885286310201
69,54.9488054607509,69,58.4945013272659,69,61.518771331058,69,71.9757299962078,69,71.0940462646947,69,70.9802806219188,69,70.8333333333333
70,55.745164960182,70,59.5563139931741,70,62.2298065984073,70,72.8052711414486,70,72.155858930603,70,72.0420932878271,70,72.1605991657186
71,56.5415244596132,71,60.6181266590823,71,62.9408418657565,71,73.6348122866894,71,73.1039059537353,71,73.1039059537353,71,72.9901403109594
72,57.3378839590444,72,61.6799393249905,72,63.8509670079636,72,74.4643534319302,72,74.0519529768677,72,74.0519529768676,72,74.0519529768677
73,58.1342434584755,73,62.7417519908988,73,64.7610921501706,73,75.293894577171,73,75,73,75,73,75
74,58.9306029579067,74,63.803564656807,74,65.6712172923777,74,76.3557072430792,74,76.3272658323853,74,76.3272658323853,74,76.3272658323853
75,59.7269624573379,75,64.8653773227152,75,66.5813424345847,75,77.4175199089875,75,77.6545316647706,75,77.6545316647705,75,77.1568069776261
76,60.5233219567691,76,65.9271899886235,76,67.4914675767918,76,78.4793325748957,76,78.9817974971558,76,78.4840728100114,76,78.2186196435343
77,61.3196814562002,77,66.5908229048161,77,68.4015927189988,77,79.5411452408039,77,79.8113386423966,77,79.3136139552522,77,79.1666666666667
78,62.1160409556314,78,67.2544558210088,78,69.3117178612059,78,80.4891922639363,78,80.6408797876375,78,80.3754266211604,78,80.493932499052
79,62.9124004550626,79,67.9180887372014,79,70.1243295953193,79,81.4372392870686,79,81.4704209328783,79,81.4372392870686,79,81.3234736442928
80,63.7087599544937,80,68.581721653394,80,70.9369413294328,80,82.385286310201,80,82.5322335987865,80,82.385286310201,80,82.385286310201
81,64.5051194539249,81,69.2453545695867,81,71.7495530635462,81,83.3333333333333,81,83.5940462646947,81,83.3333333333333,81,83.3333333333333
82,65.3014789533561,82,69.9089874857793,82,72.5621647976597,82,84.6605991657186,82,84.655858930603,82,84.6605991657186,82,84.6605991657186
83,66.0978384527872,83,70.5726204019719,83,73.3747765317731,83,85.9878649981039,83,85.6039059537353,83,85.9878649981039,83,85.4901403109594
84,66.8941979522184,84,71.2362533181646,84,74.1873882658865,84,87.3151308304892,84,86.5519529768677,84,86.8174061433447,84,86.5519529768677
85,67.6905574516496,85,71.8998862343572,85,75,85,88.6423966628744,85,87.5,85,87.6469472885855,85,87.5
86,68.4869169510808,86,72.5635191505499,86,76.1376564277588,86,89.4719378081153,86,88.8272658323853,86,88.7087599544937,86,88.8272658323853
87,69.283276450512,87,73.2271520667425,87,77.2753128555176,87,90.3014789533561,87,90.1545316647706,87,89.770572620402,87,89.6568069776261
88,70.0796359499431,88,73.8907849829351,88,78.4129692832764,88,91.1310200985969,88,91.4817974971558,88,90.7186196435343,88,90.7186196435343
89,70.8759954493743,89,74.5544178991278,89,79.5506257110352,89,91.9605612438377,89,92.3113386423967,89,91.6666666666667,89,91.6666666666667
90,71.6723549488055,90,75.2180508153204,90,80.6882821387941,90,93.0223739097459,90,93.1408797876375,90,92.993932499052,90,92.993932499052
91,72.4687144482367,91,75.8816837315131,91,81.8259385665529,91,94.0841865756542,91,93.9704209328783,91,94.3211983314372,91,93.8234736442928
92,73.2650739476678,92,76.7311338642397,92,82.9635949943117,92,95.1459992415624,92,95.0322335987865,92,95.1507394766781,92,94.885286310201
93,74.061433447099,93,77.5805839969662,93,83.6746302616609,93,96.2078119074706,93,96.0940462646948,93,95.9802806219189,93,95.8333333333334
94,74.8577929465302,94,78.4300341296928,94,84.3856655290102,94,97.155858930603,94,97.155858930603,94,97.0420932878271,94,97.1605991657186
95,75.6541524459614,95,79.2794842624194,95,85.0967007963595,95,98.1039059537353,95,98.1039059537353,95,98.1039059537353,95,97.9901403109595
96,76.4505119453925,96,80.128934395146,96,85.8077360637087,96,99.0519529768677,96,99.0519529768677,96,99.0519529768677,96,99.0519529768677
97,77.2468714448237,97,80.9783845278726,97,86.518771331058,,,,,,,,
98,77.957906712173,98,81.8278346605992,98,87.2298065984072,,,,,,,,
99,78.6689419795222,99,82.6772847933258,99,87.9408418657565,,,,,,,,
100,79.3799772468715,100,83.5267349260524,100,88.8509670079636,,,,,,,,
